publication_year | book_count | average_price
---------------------------------------------
1871 | 129 | 48.08
1883 | 168 | 52.51
1886 | 162 | 54.73
1904 | 111 | 54.74
1905 | 177 | 50.62
1938 | 126 | 46.76
1955 | 147 | 54.83
1958 | 96 | 44.17
1986 | 312 | 45.63
1987 | 360 | 50.44
1988 | 459 | 49.91
1989 | 309 | 50.39
1990 | 366 | 52.12
1991 | 282 | 50.01
1992 | 303 | 50.46
1993 | 342 | 51.8
1994 | 393 | 50.55
1995 | 336 | 44.93
1996 | 333 | 54.12
1997 | 333 | 49.94
1998 | 330 | 51.53
1999 | 324 | 52.17
2000 | 321 | 45.64
2001 | 351 | 48.68
2002 | 303 | 49.88
2003 | 309 | 53.53
2004 | 522 | 51.73
2005 | 348 | 51.34
2006 | 384 | 54.89
2007 | 339 | 47.03
2008 | 276 | 50.24
2009 | 297 | 51.01
2010 | 303 | 52.18
2011 | 366 | 51.34
2012 | 360 | 53.64
2013 | 342 | 52.12
2014 | 300 | 53.31
2015 | 321 | 52.77
2016 | 381 | 48.66
2017 | 357 | 52.91
2018 | 339 | 52.28
2019 | 312 | 53.68
2020 | 321 | 51.88
2021 | 372 | 54.1
2022 | 309 | 48.43
2023 | 282 | 49.12
2024 | 324 | 53.81
2025 | 324 | 51.74
2026 | 348 | 50.13
